Wavelength,EQW,Pdiff(cont),Veq,vsini,i(deg),Rstar,Mstar,Teff,log(g),vfrac,Rpolar,Requat,file_name
6564.57,1.47,0.013,304.93,0.0,0.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd15p0_halpha_alp0p0_i0
6564.57,1.6,0.012,304.93,52.95,10.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd15p0_halpha_alp0p0_i10
6564.57,1.7,0.012,304.93,104.29,20.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd15p0_halpha_alp0p0_i20
6564.57,2.0,0.013,304.93,152.46,30.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd15p0_halpha_alp0p0_i30
6564.57,2.77,0.013,304.93,196.0,40.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd15p0_halpha_alp0p0_i40
6564.57,3.91,0.013,304.93,233.59,50.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd15p0_halpha_alp0p0_i50
6564.57,5.12,0.013,304.93,264.08,60.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd15p0_halpha_alp0p0_i60
6564.57,6.27,0.013,304.93,286.54,70.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd15p0_halpha_alp0p0_i70
6564.57,5.23,0.013,304.93,300.3,80.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd15p0_halpha_alp0p0_i80
6564.57,1.44,0.013,304.93,304.93,90.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd15p0_halpha_alp0p0_i90
6564.57,4.52,0.013,304.93,0.0,0.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd25p0_halpha_alp0p0_i0
6564.57,4.72,0.012,304.93,52.95,10.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd25p0_halpha_alp0p0_i10
6564.57,4.92,0.012,304.93,104.29,20.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd25p0_halpha_alp0p0_i20
6564.57,5.3,0.013,304.93,152.46,30.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd25p0_halpha_alp0p0_i30
6564.57,6.34,0.013,304.93,196.0,40.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd25p0_halpha_alp0p0_i40
6564.57,7.99,0.013,304.93,233.59,50.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd25p0_halpha_alp0p0_i50
6564.57,9.75,0.013,304.93,264.08,60.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd25p0_halpha_alp0p0_i60
6564.57,10.84,0.013,304.93,286.54,70.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd25p0_halpha_alp0p0_i70
6564.57,8.2,0.013,304.93,300.3,80.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd25p0_halpha_alp0p0_i80
6564.57,4.83,0.013,304.93,304.93,90.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd25p0_halpha_alp0p0_i90
6564.57,6.85,0.013,304.93,0.0,0.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd35p0_halpha_alp0p0_i0
6564.57,7.01,0.012,304.93,52.95,10.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd35p0_halpha_alp0p0_i10
