%\*l[nm]	Flux relative to continuum flux
648.25159   0.98822051
648.27600   0.99581221
648.30029   0.97374945
648.32458   0.96821905
648.34900   0.97056507
648.37329   0.97262605
648.39758   0.96987318
648.42194   0.98813569
648.44617   0.98981759
648.47052   0.98763492
648.49475   0.99038376
648.51910   0.99261385
648.54333   0.98869412
648.56763   0.99143212
648.59192   0.99670962
648.61615   0.99640606
648.64038   0.99577783
648.66467   0.99129062
648.68884   0.98779679
648.71313   0.99108559
648.73737   0.98805518
648.76160   0.99608909
648.78577   0.99465152
648.81000   0.99456549
648.83417   0.99796475
648.85840   1.01232390
648.88257   1.00538660
648.90680   1.01028480
648.93097   1.01041480
648.95514   1.01009570
648.97931   1.01734670
649.00342   1.02119030
649.02759   1.02447380
649.05176   1.01228190
649.07587   1.00478070
649.09998   1.00410750
649.12415   1.01681630
649.14825   1.02594620
649.17236   1.03069300
649.19647   1.03302100
649.22058   1.02767100
649.24469   1.02789260
649.26880   1.01138930
649.29285   1.00156730
649.31696   1.01201630
649.34100   1.01354340
649.36511   1.02033110
649.38916   1.02782050
649.41321   1.02377770
649.43726   1.03088410
649.46130   1.01919200
649.48529   1.02176090
649.50934   1.02943370
649.53333   1.02785250
649.55737   1.01526580
649.58142   0.99974249
649.60541   0.99055885
649.62939   1.00257080
649.65344   1.01611910
649.67737   1.00621900
649.70135   1.00880300
649.72534   1.00825210
649.74933   1.00002620
649.77325   1.00025220
649.79724   1.00102620
649.82117   1.00707490
649.84509   1.00607910
649.86902   0.99491777
649.89294   1.00523540
649.91687   1.00564010
649.94080   0.99926512
649.96472   0.99687727
649.98865   1.00489270
650.01257   1.00276280
650.03644   0.99904322
650.06030   0.99898932
650.08417   0.99896104
650.10803   0.99484221
650.13196   0.99360041
650.15582   0.99263760
650.17963   0.99288209
650.20349   0.99366754
650.22736   0.98717304
650.25116   0.99214084
650.27502   0.98647132
650.29883   0.99229190
650.32263   0.99259615
650.34644   1.00010860
650.37024   0.99505384
650.39404   0.99831154
650.41785   0.99211204
650.44165   0.99386341
650.46545   0.99705082
650.48920   1.00038210
650.51294   0.99607167
650.53674   1.00250080
650.56049   0.99532574
650.58423   0.99896434
650.60797   0.99603826
650.63171   0.99357112
650.65540   0.99561584
650.67914   0.99858723
650.70288   0.99705161
650.72662   0.99180531
650.75031   0.99180537
650.77405   0.99484662
650.79773   0.99550502
650.82141   0.99423790
650.84509   0.98561823
650.86877   0.98546868
650.89246   0.98625232
650.91608   0.99567620
650.93976   0.99491705
650.96338   0.99211403
650.98700   0.99366600
651.01062   0.99302119
651.03430   0.99244891
651.05792   0.99699458
651.08154   0.99704112
651.10516   1.00000270
651.12878   0.99893774
651.15234   1.00340860
651.17596   1.00035740
651.19958   0.99617068
651.22314   0.99097895
651.24670   0.99841054
651.27026   1.00427190
651.29382   1.01648660
651.31738   1.00669220
651.34094   1.01892040
651.36450   1.02862430
651.38806   1.02775730
651.41156   1.03716920
651.43512   1.03440650
651.45862   1.02207680
651.48212   1.02248940
651.50562   1.02332390
651.52917   1.03442630
651.55261   1.03457130
651.57611   1.03296470
651.59961   1.02601260
651.62311   1.01644410
651.64655   1.00072540
651.67004   0.98798665
651.69348   0.99668406
651.71692   1.01257840
651.74036   1.02235160
651.76379   1.02821590
651.78723   1.02834540
651.81067   1.02949270
651.83411   1.03493570
651.85754   1.03430180
651.88092   1.04128410
651.90430   1.03702410
651.92767   1.02993520
651.95105   1.01821310
651.97449   1.02256060
651.99786   1.02984240
652.02124   1.03513920
652.04456   1.02927540
652.06799   1.03072700
652.09131   1.02555160
652.11462   1.03118470
652.13800   1.02320940
652.16132   1.03766620
652.18469   1.01930670
652.20795   1.00469660
652.23132   1.00426540
652.25458   0.99927987
652.27789   0.99978127
652.30115   1.00710990
652.32446   1.00516950
652.34778   0.99388076
652.37103   0.98674299
652.39435   0.98595519
652.41760   0.98966644
652.44080   0.99380038
652.46411   1.00124940
652.48737   0.99730361
652.51062   1.00411550
652.53381   0.99959786
652.55701   0.99673216
652.58026   0.99739264
652.60345   0.99440895
652.62671   1.00064590
652.64990   0.99990045
652.67310   0.99628938
652.69629   1.00505260
652.71948   1.00362210
652.74261   1.00080720
652.76581   0.99802944
652.78894   1.00259580
652.81213   1.00169940
652.83533   1.00064960
652.85846   1.00181250
652.88159   1.00097970
652.90472   0.99593753
652.92786   0.99577676
652.95099   1.00118130
652.97406   0.99781421
652.99719   0.99902519
653.02032   0.98905281
653.04340   1.00057160
653.06653   0.99045672
653.08960   0.99866477
653.11267   0.99744440
653.13574   0.99681192
653.15881   0.99843159
653.18188   1.00287580
653.20496   0.99546770
653.22797   0.98128821
653.25104   0.98935710
653.27405   0.99168232
653.29706   0.99868760
653.32013   0.99968956
653.34314   1.00176640
653.36609   1.00010680
653.38910   0.99778805
653.41211   0.99975217
653.43512   0.99135592
653.45813   0.99262621
653.48108   0.99757524
653.50403   0.99957296
653.52704   0.99749941
653.54999   1.00125670
653.57294   1.00098130
653.59589   1.00090630
653.61884   1.00211430
653.64172   0.99918972
653.66467   1.00112180
653.68762   0.99710104
653.71057   1.00411400
653.73346   0.99906721
653.75635   1.00770900
653.77924   1.00893790
653.80212   1.00476220
653.82507   1.00949940
653.84790   1.00775910
653.87079   1.00348000
653.89368   0.99945167
653.91650   1.00128440
653.93939   1.00059310
653.96222   1.00267540
653.98505   0.99780746
654.00793   1.00460400
654.03076   1.01159950
654.05359   1.00451200
654.07635   1.00354690
654.09924   1.00121210
654.12201   1.00085630
654.14484   1.00222210
654.16760   1.00501160
654.19037   1.00898680
654.21320   1.00343110
654.23596   1.00355980
654.25867   0.99829585
654.28149   1.00451600
654.30426   1.00705620
654.32703   1.01250570
654.34973   1.00574980
654.37244   0.99983293
654.39520   0.98984378
654.41791   0.99350815
654.44061   1.00619650
654.46332   1.00984550
654.48608   1.01188420
654.50873   1.01718620
654.53143   1.01493340
654.55414   1.01065360
654.57678   1.01291470
654.59949   1.01138750
654.62219   1.00980560
654.64484   1.01835450
654.66748   1.02034690
654.69012   1.02146820
654.71277   1.02017060
654.73547   1.01524000
654.75806   1.01514680
654.78064   1.00902090
654.80334   1.01865580
654.82593   1.01080820
654.84851   1.01693520
654.87115   1.01474170
654.89368   1.00891080
654.91632   1.02356430
654.93890   1.02619830
654.96149   1.03292730
654.98401   1.03213610
655.00659   1.03553680
655.02917   1.03473670
655.05170   1.04411170
655.07428   1.04478080
655.09680   1.04606590
655.11932   1.03940040
655.14185   1.04304450
655.16437   1.05432090
655.18689   1.05142670
655.20941   1.05245480
655.23187   1.04238110
655.25439   1.03614010
655.27692   1.04550980
655.29938   1.05159010
655.32184   1.06278120
655.34436   1.07023730
655.36682   1.08121100
655.38928   1.07680700
655.41174   1.08299250
655.43414   1.09304630
655.45660   1.09881280
655.47900   1.11030080
655.50146   1.11514840
655.52386   1.12598220
655.54626   1.14349810
655.56873   1.15023880
655.59113   1.15597440
655.61346   1.18288870
655.63586   1.20172190
655.65826   1.21299950
655.68066   1.23384160
655.70300   1.24946590
655.72540   1.27435450
655.74774   1.30225480
655.77008   1.34436560
655.79242   1.38526270
655.81482   1.43677110
655.83710   1.49631220
655.85944   1.56393180
655.88177   1.63620080
655.90411   1.74151630
655.92639   1.83947780
655.94867   1.97752390
655.97101   2.11522190
655.99329   2.27637600
656.01556   2.45162460
656.03784   2.65437050
656.06012   2.87161900
656.08240   3.08567580
656.10461   3.33002680
656.12689   3.54151220
656.14911   3.70659760
656.17139   3.85695260
656.19360   3.98379830
656.21588   4.15630310
656.23810   4.30864710
656.26031   4.44658000
656.28253   4.50925060
656.30469   4.51149550
656.32690   4.47193890
656.34906   4.44130920
656.37128   4.41711250
656.39343   4.41489870
656.41565   4.35546160
656.43781   4.21160470
656.45996   4.00373370
656.48212   3.77778900
656.50427   3.55777540
656.52643   3.39156340
656.54852   3.22938190
656.57068   3.09734540
656.59277   2.93559820
656.61487   2.76732750
656.63702   2.58590080
656.65912   2.42170520
656.68121   2.24716800
656.70331   2.11116240
656.72540   1.97023620
656.74744   1.85632340
656.76953   1.76228890
656.79163   1.66466900
656.81366   1.57570040
656.83575   1.51639060
