%\*l[nm]	Flux relative to continuum flux
648.25159   1.01164340
648.27600   1.01138720
648.30029   0.98810417
648.32458   0.98462009
648.34900   0.98463432
648.37329   0.97359717
648.39758   0.99182007
648.42194   0.99919479
648.44617   1.00135950
648.47052   0.99145593
648.49475   1.00869350
648.51910   1.08465560
648.54333   1.01462930
648.56763   1.01128290
648.59192   1.00974600
648.61615   1.01253720
648.64038   1.01254600
648.66467   1.00088670
648.68884   1.00994440
648.71313   1.00629020
648.73737   1.01072230
648.76160   1.01717210
648.78577   1.01791930
648.81000   1.01685630
648.83417   1.01722450
648.85840   1.03338900
648.88257   1.02041300
648.90680   1.02042420
648.93097   1.01848410
648.95514   1.01632470
648.97931   1.03024310
649.00342   1.02244940
649.02759   1.02166880
649.05176   1.00465960
649.07587   0.97924714
649.09998   1.00571640
649.12415   1.00866520
649.14825   1.01920200
649.17236   1.01536810
649.19647   1.01666100
649.22058   1.01804750
649.24469   1.01581080
649.26880   0.99501899
649.29285   0.98628254
649.31696   1.00097910
649.34100   0.99231557
649.36511   1.01408540
649.38916   1.01500350
649.41321   1.01966870
649.43726   1.01536200
649.46130   1.00388130
649.48529   1.01598600
649.50934   1.01417000
649.53333   1.00717390
649.55737   1.00272280
649.58142   0.98712766
649.60541   0.98298590
649.62939   0.99394072
649.65344   1.01311260
649.67737   1.00741440
649.70135   1.00759760
649.72534   1.00948180
649.74933   1.00687460
649.77325   0.99936310
649.79724   1.00274960
649.82117   1.01750850
649.84509   1.00878060
649.86902   1.00034250
649.89294   1.00125190
649.91687   1.00554510
649.94080   1.00826670
649.96472   1.00197810
649.98865   0.99979418
650.01257   0.99224771
650.03644   1.00281110
650.06030   0.99594397
650.08417   1.00002530
650.10803   0.99461467
650.13196   0.99775871
650.15582   0.99432286
650.17963   0.99457189
650.20349   0.99620764
650.22736   0.99599992
650.25116   0.99564942
650.27502   0.98791887
650.29883   0.99451560
650.32263   0.99090811
650.34644   0.99196934
650.37024   0.99277297
650.39404   0.98467686
650.41785   0.98825168
650.44165   0.99018293
650.46545   0.99069727
650.48920   0.99676751
650.51294   0.99217359
650.53674   1.00264530
650.56049   0.99746665
650.58423   0.99150360
650.60797   0.99645197
650.63171   0.99335460
650.65540   0.99139860
650.67914   0.99518657
650.70288   0.99977711
650.72662   0.99402026
650.75031   0.99417937
650.77405   0.99410212
650.79773   0.99984357
650.82141   0.98509480
650.84509   0.98762547
650.86877   0.97670354
650.89246   0.99074875
650.91608   0.99561075
650.93976   0.99719273
650.96338   0.99977042
650.98700   0.99874414
651.01062   1.00393120
651.03430   0.99788562
651.05792   1.00170760
651.08154   1.00979350
651.10516   1.01169750
651.12878   1.01518850
651.15234   1.01642250
651.17596   1.01169240
651.19958   1.00503820
651.22314   1.00671290
651.24670   1.00768010
651.27026   1.01659340
651.29382   1.01305680
651.31738   1.01850170
651.34094   1.01636140
651.36450   1.01147010
651.38806   1.01153130
651.41156   1.00518740
651.43512   1.01013550
651.45862   0.99765929
651.48212   0.97664232
651.50562   0.99725069
651.52917   1.00296910
651.55261   0.99642991
651.57611   0.99891306
651.59961   0.99606862
651.62311   0.98237422
651.64655   0.97097028
651.67004   0.95581146
651.69348   0.97777965
651.71692   0.98038928
651.74036   0.99213238
651.76379   1.00788480
651.78723   0.99756209
651.81067   1.00107120
651.83411   1.00608460
651.85754   1.00525660
